姨母笑	(neologism c. 2017) (slang) kindly, indulgent smile (usu. on the face of a woman)
站	station; to stand; to halt; to stop; branch of a company or organization; website
讲究	to pay particular attention to; carefully selected for quality; tastefully chosen
卷	to roll up; to sweep up; to carry along; a roll; classifier for rolls, spools etc
气	gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi
解	acrobatic display (esp. on horseback) (old); variant of 懈[xie4] and 邂[xie4] (old)
站	station; to stand; to halt; to stop; branch of a company or organization; website
利	sharp; favorable; advantage; benefit; profit; interest; to do good to; to benefit
指导	to guide; to give directions; to direct; to coach; guidance; tuition; CL:個|个[ge4]
认同	to approve of; to endorse; to acknowledge; to recognize; to identify oneself with
站	station; to stand; to halt; to stop; branch of a company or organization; website
推广	to extend; to spread; to popularize; generalization; promotion (of a product etc)
拖	to drag; to tow; to trail; to hang down; to mop (the floor); to delay; to drag on
假设	to suppose; to presume; to assume; supposing that ...; if; hypothesis; conjecture
抓紧	to keep a firm grip on; to pay close attention to; to lose no time in (doing sth)
用得着	to be able to use; useable; to have a use for; (in a question) to be necessary to
有事	to be occupied with sth; to have sth on one's mind; there is something the matter
指标	(production) target; quota; index; indicator; sign; signpost; (computing) pointer
再说	to say again; to put off a discussion until later; moreover; what's more; besides
利害	terrible; formidable; serious; devastating; tough; capable; sharp; severe; fierce
耍	to play with; to wield; to act (cool etc); to display (a skill, one's temper etc)
安检	security check (abbr. for 安全檢查|安全检查[an1 quan2 jian3 cha2]); to do a security check
出圈	to remove manure from a cowshed or pigsty etc (for use as fertilizer); to muck out
补充	to replenish; to supplement; to complement; additional; supplementary; CL:個|个[ge4]
不好意思	to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb)
到底	finally; in the end; when all is said and done; after all; to the end; to the last
运动	to move; to exercise; sports; exercise; motion; movement; campaign; CL:場|场[chang3]
发票	invoice; receipt; bill; uniform invoice (abbr. for 統一發票|统一发票[tong3 yi1 fa1 piao4])
汉字	Chinese character; CL:個|个[ge4]; Japanese: kanji; Korean: hanja; Vietnamese: hán tự
出行	to go out somewhere (relatively short trip); to set off on a journey (longer trip)
马	horse; CL:匹[pi3]; horse or cavalry piece in Chinese chess; knight in Western chess
称心如意	(idiom) after one's own heart; gratifying; satisfactory; everything one could wish
可见	it can clearly be seen (that this is the case); it is (thus) clear; clear; visible
工程	engineering; an engineering project; project; undertaking; CL:個|个[ge4],項|项[xiang4]
改装	to change one's costume; to repackage; to remodel; to refit; to modify; to convert
光线	light ray; CL:條|条[tiao2],道[dao4]; light; illumination; lighting (for a photograph)
含义	meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation
骗	to cheat; to swindle; to deceive; to get on (a horse etc) by swinging one leg over
回复	to reply; to recover; to return (to a previous condition); Re: in reply to (email)
收拾	to put in order; to tidy up; to pack; to repair; (coll.) to sort sb out; to fix sb
空间	space; room; (fig.) scope; leeway; (astronomy) outer space; (physics, math.) space
亏	deficiency; deficit; luckily; it's lucky that...; (often ironically) fancy that...
流动	to flow; to circulate; to go from place to place; to be mobile; (of assets) liquid
停车	to pull up (stop one's vehicle); to park; (of a machine) to stop working; to stall
支持	to be in favor of; to support; to back; support; backing; to stand by; CL:個|个[ge4]
公安局	public security bureau (government office similar in function to a police station)
使得	usable; serviceable; feasible; workable; doable; to make; to cause; to bring about
提示	to point out; to remind (sb of sth); to suggest; suggestion; tip; reminder; notice
做法	way of handling sth; method for making; work method; recipe; practice; CL:個|个[ge4]
相处	to be in contact (with sb); to associate; to interact; to get along (well, poorly)
还原	to restore to the original state; to reconstruct (an event); reduction (chemistry)
物业	property; real estate; abbr. for 物業管理|物业管理[wu4 ye4 guan3 li3], property management
嬌羞	adj. Bashful. This Internet slang term is often used humorously to describe males.
急功近利	seeking instant benefit (idiom); shortsighted vision, looking only for fast return
家伙	household dish, implement or furniture; domestic animal; (coll.) guy; chap; weapon
终点	the end; end point; finishing line (in a race); destination; terminus; CL:個|个[ge4]
转化	to change; to turn; to convert; (genetics) to transform; (chemistry) isomerization
论证	to prove a point; to expound on; to demonstrate or prove (through argument); proof
确信	to be convinced; to be sure; to firmly believe; to be positive that; definite news
报销	to submit an expense account; to apply for reimbursement; to write off; to wipe out
大小	large and small; size; adults and children; consideration of seniority; at any rate
超	to exceed; to overtake; to surpass; to transcend; to pass; to cross; ultra-; super-
待	to wait; to treat; to deal with; to need; going to (do sth); about to; intending to
交流	to exchange; exchange; communication; interaction; to have social contact (with sb)
集中	to concentrate; to centralize; to focus; centralized; concentrated; to put together
紧张	nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:陣|阵[zhen4]
只	classifier for birds and certain animals, one of a pair, some utensils, vessels etc
复苏	variant of 復甦|复苏[fu4 su1]; to recover (health, economic); to resuscitate; anabiosis
官	government official; governmental; official; public; organ of the body; CL:個|个[ge4]
露馅	to leak; to expose (sb's secret); to spill the beans; to let the cat out of the bag
上边	the top; above; overhead; upwards; the top margin; above-mentioned; those higher up
宫	palace; temple; castration (as corporal punishment); first note in pentatonic scale
背鍋俠	n. Carry+wok+knight. Scapegoat. This Internet slang term derives from 背鍋 [bēi guō].
响	echo; sound; noise; to make a sound; to sound; to ring; loud; classifier for noises
阳光	sunshine; (of personality) upbeat; energetic; transparent (open to public scrutiny)
反思	to think back over sth; to review; to revisit; to rethink; reflection; reassessment
牵	to lead along; to pull (an animal on a tether); (bound form) to involve; to draw in
失误	lapse; mistake; to make a mistake; fault; service fault (in volleyball, tennis etc)
只	classifier for birds and certain animals, one of a pair, some utensils, vessels etc
实践	practice; to put into practice; to live up to (a promise); to carry out (a project)
伟大	huge; great; grand; worthy of the greatest admiration; important (contribution etc)
想不到	unexpected; hard to imagine; it had not occurred to me; who could have thought that
空前绝后	unprecedented and never to be duplicated; the first and the last; unmatched; unique
名副其实	not just in name only, but also in reality (idiom); aptly named; worthy of the name
徘徊	to pace back and forth; to dither; to hesitate; (of sales figures etc) to fluctuate
贫乏	impoverished; lacking; deficient; limited; meager; impoverishment; lack; deficiency
上进	to make progress; to do better; fig. ambitious to improve oneself; to move forwards
把握	to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)
安置	to find a place for; to help settle down; to arrange for; to get into bed; placement
不敢当	lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me
放	to put; to place; to release; to free; to let go; to let out; to set off (fireworks)
工作	to work; (of a machine) to operate; job; work; task; CL:個|个[ge4],份[fen4],項|项[xiang4]
负责	to be responsible for; to be in charge of; to bear responsibility for; conscientious
感情	emotion; sentiment; affection; feelings between two persons; CL:個|个[ge4],種|种[zhong3]
单元	unit (forming an entity); element; (in a residential building) entrance or staircase
联系	connection; contact; relation; to get in touch with; to integrate; to link; to touch
记录	to record; record (written account); note-taker; record (in sports etc); CL:個|个[ge4]
打量	to size sb up; to look sb up and down; to take the measure of; to suppose; to reckon
遏制	to check; to contain; to hold back; to keep within limits; to constrain; to restrain
秩序	order (orderly); order (sequence); social order; the state (of society); CL:個|个[ge4]
综合	comprehensive; composite; synthesized; mixed; to sum up; to integrate; to synthesize
收养	to take in and care for (an elderly person, a dog etc); to adopt (a child); adoption
狠心	callous; heartless; to resolve (to do sth); firm resolve (as in 下狠心[xia4 hen3 xin1])
废话	nonsense; rubbish; superfluous words; You don't say!; No kidding! (gently sarcastic)
哏	old variant of 狠[hen3]; old variant of 很[hen3]; also used as an exclamation of anger
牺牲	to sacrifice one's life; to sacrifice (sth valued); beast slaughtered as a sacrifice
新兴	(of markets, industries, infectious diseases etc) rising; emerging; in the ascendant
节制	to control; to restrict; to moderate; to temper; moderation; sobriety; to administer
一时	a period of time; a while; for a short while; temporary; momentary; at the same time
资源	natural resource (such as water or minerals); resource (such as manpower or tourism)
拘束	to restrict; to restrain; constrained; awkward; ill at ease; uncomfortable; reticent
开朗	spacious and well-lit; open and clear; (of character) optimistic; cheerful; carefree
武侠	martial arts chivalry (Chinese literary, theatrical and cinema genre); knight-errant
宝贝	treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character
掰	to break off or break open sth with one's hands; (fig.) to break off (a relationship)
不仅	not just; not limited to; (as a correlative conjunction) not only (..., but also ...)
底	background; bottom; base; end (of the month, year etc); remnants; (math.) radix; base
换	to exchange; to change (clothes etc); to substitute; to switch; to convert (currency)
递	to hand over; to pass on; to deliver; (bound form) progressively; in the proper order
变质	to degenerate; to deteriorate; (of food) to go bad; to go off; (geology) metamorphism
冲突	conflict; to conflict; clash of opposing forces; collision (of interests); contention
决定	to decide (to do something); to resolve; decision; CL:個|个[ge4],項|项[xiang4]; certainly
读音	pronunciation; literary (rather than colloquial) pronunciation of a Chinese character
影响	influence; effect; to influence; to affect (usually adversely); to disturb; CL:股[gu3]
理发	to get a haircut; to have one's hair done; to cut (sb's) hair; to give (sb) a haircut
架	to support; frame; rack; framework; classifier for planes, large vehicles, radios etc
過氣網紅	n. Has-been+Internet celebrity. A former Internet celebrity who is no longer popular.
景	(bound form) scenery; circumstance; situation; scene (of a play); (literary) sunlight
目光	gaze; (fig.) attention; expression in one's eyes; look; (lit. and fig.) sight; vision
养	to raise (animals); to bring up (children); to keep (pets); to support; to give birth
舌头	tongue; CL:個|个[ge4]; enemy soldier captured for the purpose of extracting information
文字	character; script; writing; written language; writing style; phraseology; CL:個|个[ge4]
话筒	microphone; (telephone) receiver; handset; megaphone; (fig.) mouthpiece; spokesperson
碎碎唸	v. Fragmented+fragmented+talk. 1) To chatter/prattle/jabber; 2) to nag; 3) to mutter.
机动	locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)
嫌	to dislike; suspicion; resentment; enmity; abbr. for 嫌犯[xian2 fan4], criminal suspect
较量	to pit oneself against sb; to compete with sb; contest; battle; to haggle; to quibble
灭亡	to be destroyed; to become extinct; to perish; to die out; to destroy; to exterminate
屈服	to surrender; to succumb; to yield; (as a transitive verb) to defeat; to prevail over
泰斗	(abbr. for 泰山北斗[Tai4 Shan1 Bei3 dou3]) distinguished figure; doyen; revered authority
心眼儿	one's thoughts; mind; intention; willingness to accept new ideas; baseless suspicions
隐患	a danger concealed within sth; hidden damage; misfortune not visible from the surface
报	to announce; to inform; report; newspaper; recompense; revenge; CL:份[fen4],張|张[zhang1]
包袱	wrapping cloth; a bundle wrapped in cloth; load; weight; burden; funny part; punchline
后面	the back; the rear; the last bit; behind; near the end; at the back; later; afterwards
冬叔	n. Uncle Dong. This Internet slang term is a nickname for Chinese actress Zhou Dongyu.
处分	to discipline sb; to punish; disciplinary action; to deal with (a matter); CL:個|个[ge4]
后边	the back; the rear; the last bit; behind; near the end; at the back; later; afterwards
厚	thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress
贷款	a loan; CL:筆|笔[bi3]; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank)
海	ocean; sea; CL:個|个[ge4],片[pian4]; great number of people or things; (dialect) numerous
口语	colloquial speech; spoken language; vernacular language; slander; gossip; CL:門|门[men2]
科学	science; scientific knowledge; scientific; rational; CL:門|门[men2],個|个[ge4],種|种[zhong3]
一定	surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must
炸裂	adj. Explode+shatter. [Of one’s acting, singing, writing, etc.] awesome, breathtaking.
中间	the middle; the inside; in the middle; within; between; among; during; in the meantime
私貨	n. Personal+goods. Personal opinion that might not be liked by the readers or viewers.
磋商	to consult; to discuss seriously; to negotiate; to confer; negotiations; consultations
紧	tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten
名	name; noun (part of speech); place (e.g. among winners); famous; classifier for people
就是	exactly; precisely; only; simply; just; (used correlatively with 也[ye3]) even; even if
辛苦	exhausting; hard; tough; arduous; to work hard; to go to a lot of trouble; hardship(s)
群嘲	(neologism c. 2011) to deride a group of people; (of a group of people) to deride (sb)
扇	fan; sliding, hinged or detachable flat part of sth; classifier for doors, windows etc
以外	apart from; other than; except for; external; outside of; on the other side of; beyond
又叒叕	adv. Again + Again×3 + Again×4. This Internet slang term emphasizes a recurring event.
外面	outside (also pr. [wai4 mian5] for this sense); surface; exterior; external appearance
现实	reality; actuality; real; actual; realistic; pragmatic; materialistic; self-interested
疼痛	pain; (of a body part) to be painful; to be sore; to hurt; (of a person) to be in pain
五星	the five visible planets, namely: Mercury 水星, Venus 金星, Mars 火星, Jupiter 木星, Saturn 土星
结晶	to crystallize; crystallization; crystal; crystalline; (fig.) the fruit (of labor etc)
颈椎	cervical vertebra; the seven cervical vertebrae in the neck of humans and most mammals
飘	to float (in the air); to flutter; to waft; complacent; frivolous; weak; shaky; wobbly
元素	element (key component of sth); (chemistry) element; (math.) element (member of a set)
专利	patent; sth uniquely enjoyed (or possessed etc) by a certain group of people; monopoly
招待	to hold a reception; to offer hospitality; to entertain (guests); to serve (customers)
日新月异	daily renewal, monthly change (idiom); every day sees new developments; rapid progress
应酬	to engage in social activities; to socialize; dinner party; banquet; social engagement
沾光	to bask in the light; fig. to benefit from association with sb or sth; reflected glory
周边	periphery; rim; surroundings; all around; perimeter; peripheral (computing); spin-offs
表演	play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3]
不通	to be obstructed; to be blocked up; to be impassable; to make no sense; to be illogical
曾经	once; already; former; previously; ever; (past tense marker used before verb or clause)
层面	aspect; facet; level (political, psychological, spiritual etc); (geology) bedding plane
找	to try to find; to look for; to call on sb; to find; to seek; to return; to give change
池子	pond; bathhouse pool; dance floor of a ballroom; (old) stalls (front rows in a theater)
广播	broadcast; CL:個|个[ge4]; broadcasting; to broadcast; (formal) to propagate; to publicize
楼	house with more than 1 story; storied building; floor; CL:層|层[ceng2],座[zuo4],棟|栋[dong4]
要求	to request; to require; requirement; to stake a claim; to ask; to demand; CL:點|点[dian3]
反问	to ask (a question) in reply; to answer a question with a question; rhetorical question
风暴	storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)
却	but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though
文章	article; essay; literary works; writings; hidden meaning; CL:篇[pian1],段[duan4],頁|页[ye4]
虽然	although; even though (often used correlatively with 可是[ke3 shi4] or 但是[dan4 shi4] etc)
沸腾	(of a liquid) to boil; (of sentiments etc) to boil over; to flare up; to be impassioned
嘛	modal particle indicating that sth is obvious; particle indicating a pause for emphasis
哎	hey!; (interjection used to attract attention or to express surprise or disapprobation)
去掉	to get rid of; to exclude; to eliminate; to remove; to delete; to strip out; to extract
束	to bind; bunch; bundle; classifier for bunches, bundles, beams of light etc; to control
撞臉	v. Face+bump. This Internet slang term is often used to describe celebrity look-alikes.
替	to substitute for; to take the place of; to replace; for; on behalf of; to stand in for
团长	regimental command; head of a delegation; group buy organizer; group-buying coordinator
歇	to rest; to take a break; to stop; to halt; (dialect) to sleep; a moment; a short while
占有	to have; to own; to hold; to occupy; to possess; to account for (a high proportion etc)
开支	expenditures; expenses (CL:筆|笔[bi3], 項|项[xiang4]); to spend money; (coll.) to pay wages
指数	(numerical, statistical) index; (math.) exponent; index; exponential (function, growth)
抹杀	to erase; to cover traces; to obliterate evidence; to expunge; to blot out; to suppress
内涵	meaningful content; implication; (semantics) connotation; inner qualities (of a person)
忍耐	to endure; to bear with; to exercise patience; to restrain oneself; patience; endurance
书记	secretary (chief official of a branch of a socialist or communist party); clerk; scribe
爱好	to like; to be fond of; to take pleasure in; to be keen on; interest; hobby; CL:個|个[ge4]
杯	variant of 杯[bei1]; trophy cup; classifier for certain containers of liquids: glass, cup
标准	standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard
拍磚	v. To hit with a brick. To lambaste someone online as if hitting him or her with bricks.
不足	insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not
沉	to submerge; to immerse; to sink; to keep down; to lower; to drop; deep; profound; heavy
干杯	to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup
坐	to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; variant of 座[zuo4]
反复	repeatedly; over and over; to upend; unstable; to come and go; (of an illness) to return
更新	to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate
联络	to get in touch with; to contact; to stay in contact (with); liaison; (math.) connection
生词	new word (in textbook); word that is unfamiliar or not yet studied; CL:組|组[zu3],個|个[ge4]
強排	v. Strongly+stand [behind you]. To strongly agree with [you]. To strongly support [you].
以	to use; by means of; according to; in order to; because of; at (a certain date or place)
反射	to reflect; reflection (from a mirror etc); reflex (i.e. automatic reaction of organism)
栏目	regular column or segment (in a publication or broadcast program); program (TV or radio)
露	dew; syrup; nectar; outdoors (not under cover); to show; to reveal; to betray; to expose
剩男	n. Leftover men. A sexist Internet slang term referring to single men over 30 years old.
逆襲	v./n. To counterattack, to reverse the score, to catch up and eventually taking the lead
为此	for this reason; with regards to this; in this respect; in order to do this; to this end
族	race; nationality; ethnicity; clan; by extension, social group (e.g. office workers 上班族)
凝聚	to condense; to coagulate; coacervation (i.e. form tiny droplets); aggregation; coherent
萝卜	radish (Raphanus sativus), esp. white radish 白蘿蔔|白萝卜[bai2 luo2 bo5]; CL:個|个[ge4],根[gen1]
眼神	expression or emotion showing in one's eyes; meaningful glance; wink; eyesight (dialect)
转折	shift in the trend of events; turnaround; plot shift in a book; turn in the conversation
着想	to give thought (to others); to consider (other people's needs); also pr. [zhao2 xiang3]
案例	case (of fraud, hepatitis, international cooperation etc); instance; example; CL:個|个[ge4]
些	classifier indicating a small amount or small number greater than 1: some, a few, several
踩	to step on; to tread; to stamp; to press a pedal; to pedal (a bike); (online) to downvote
出门	to go out; to leave home; to go on a journey; away from home; (of a woman) to get married
倡导	to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)
可能	might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4]
好看	good-looking; nice-looking; good (of a movie, book, TV show etc); embarrassed; humiliated
浇	to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal); to mold
闊以	v. Can, able to. This Internet slang term is a humorous phonetic deviation of 可以 [kě yǐ].
斷眉	n. Broken eyebrow. This Internet slang term is an affectionate nickname for Charlie Puth.
一旦	in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day
灭	to extinguish or put out; to go out (of a fire etc); to exterminate or wipe out; to drown
人家	other people; sb else; he, she or they; I, me (referring to oneself as "one" or "people")
升级	to go up by one grade; to be promoted; to escalate (in intensity); (computing) to upgrade
假一赔十	lit. if one is fake, I shall compensate you for ten of them; fig. (of goods) 100% genuine
归纳	to sum up; to summarize; to conclude from facts; induction (method of deduction in logic)
蠢萌	adj. Adorkable. Both dorky/silly and adorable. This Internet slang term is used lovingly.
喇叭	horn (automobile etc); loudspeaker; brass wind instrument; trumpet; suona 鎖吶|锁呐[suo3 na4]
乐意	to be willing to do sth; to be ready to do sth; to be happy to do sth; content; satisfied
投掷	to throw sth a long distance; to hurl; to throw at; to throw (dice etc); to flip (a coin)
肖像	portrait (painting, photo etc); (in a general sense) representation of a person; likeness
验证	to inspect and verify; experimental verification; to validate (a theory); to authenticate
不怎么样	not up to much; very indifferent; nothing great about it; nothing good to be said about it
承认	to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge
担任	to hold a governmental office or post; to assume office of; to take charge of; to serve as
配一臉	n. Match+a+face. [Of two things or two people] looking great together, totally compatible.
憋	to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath)
空调	air conditioning; air conditioner (including units that have a heating mode); CL:臺|台[tai2]
得以	able to; so that sb can; enabling; in order to; finally in a position to; with sth in view
持久	lasting; enduring; persistent; permanent; protracted; endurance; persistence; to last long
商场	shopping mall; shopping center; department store; emporium; CL:家[jia1]; the business world
轻松	light; gentle; relaxed; effortless; uncomplicated; to relax; to take things less seriously
吊打	to hang sb up and beat him; (fig.) (slang) to own (one's opponent); to thoroughly dominate
净	clean; completely; only; net (income, exports etc); (Chinese opera) painted face male role
E神	n. E+deity. A nickname for Eason Chan, a Hong Kong singer, because it sounds like “Eason.”
密切	close; familiar; intimate; closely (related); to foster close ties; to pay close attention
重点	important point; main point; focus; key (project etc); to focus on; to put the emphasis on
鍾黑	n. Chung+black. Wallace Chung detractors. People who disparage Wallace Chung and his fans.
特	special; unique; distinguished; especially; unusual; very; abbr. for 特克斯[te4 ke4 si1], tex
无奈	to have no alternative; frustrated; exasperated; helpless; (conjunction) but unfortunately
协调	to coordinate; to harmonize; to fit together; to match (colors etc); harmonious; concerted
撕逼	(slang) (lit.) to tear cunt; (fig.) (of females) to have a catfight; to have a bitch fight
运作	to operate; operations; workings; activities (usu. of an organization); thread (computing)
要命	to cause sb's death; extremely; terribly; (used in complaining about sth) to be a nuisance
爱	to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
棒	stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race
才	(variant of 才[cai2]) just now; (variant of 才[cai2]) (before an expression of quantity) only
洗	to wash; to bathe; to develop (photographs); to shuffle (cards etc); to erase (a recording)
出入	to go out and come in; entrance and exit; expenditure and income; discrepancy; inconsistent
定期	at set dates; at regular intervals; periodic; limited to a fixed period of time; fixed term
进行	to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute
反映	to mirror; to reflect; mirror image; reflection; (fig.) to report; to make known; to render
粑粑	n. Poo. Dad. This Internet slang term means “dad”. It mimics the Taiwanese Mandarin accent.
山	mountain; hill (CL:座[zuo4]); (coll.) small bundle of straw for silkworms to spin cocoons on
膩害	n. Awesome. This Internet slang term mimics the Taiwanese Mandarin accent for comic effect.
阴暗	dim; dark; overcast; darkness; shadow; (fig.) dismal; gloomy; somber; murky; shadowy (side)
降温	to become cooler; to lower the temperature; cooling; (of interest, activity etc) to decline
集	to gather; to collect; collected works; classifier for sections of a TV series etc: episode
对照	to contrast; to compare; to place side by side for comparison (as parallel texts); to check
民间	among the people; popular; folk; non-governmental; involving people rather than governments
末	tip; end; final stage; latter part; inessential detail; powder; dust; opera role of old man
普及	to spread extensively; to generalize; widespread; popular; universal; ubiquitous; pervasive
背鍋	v. Carry+wok. 1) To be made the scapegoat. 2) To bear the blame for someone else’s mistake.
狗帶	v. Dog leash. The Internet term sounds like “go die” in English and serves as an expletive.
体会	to know from experience; to learn through experience; to realize; understanding; experience
组	to form; to organize; group; team; classifier for sets, series, groups of people, batteries
悬	to hang or suspend; to worry; public announcement; unresolved; baseless; without foundation
愣	to look distracted; to stare blankly; distracted; blank; (coll.) unexpectedly; rash; rashly
流浪	to drift about; to wander; to roam; nomadic; homeless; unsettled (e.g. population); vagrant
浓厚	dense; thick (fog, clouds etc); to have a strong interest in; deep; fully saturated (color)
亲热	affectionate; intimate; warmhearted; to show affection for; (coll.) to get intimate with sb
介绍	to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction
角	role (theater); to compete; ancient three legged wine vessel; third note of pentatonic scale
记	to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots
封	to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters
划	to delimit; to transfer; to assign; to plan; to draw (a line); stroke of a Chinese character
封	to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters
毒唯	fan of one particular member of a pop idol band who denigrates and defames the other members
迪士尼	Disney (company name, surname); Walt Disney (1901-1966), American animator and film producer
拿出	to take out; to put out; to provide; to put forward (a proposal); to come up with (evidence)
决心	determination; resolution; determined; firm and resolute; to make up one's mind; CL:個|个[ge4]
汤	soup; hot or boiling water; decoction of medicinal herbs; water in which sth has been boiled
剧	theatrical work (play, opera, TV series etc); dramatic (change, increase etc); acute; severe
牛	ox; cow; bull; CL:條|条[tiao2],頭|头[tou2]; newton (abbr. for 牛頓|牛顿[niu2 dun4]); (slang) awesome
完善	(of systems, facilities etc) comprehensive; well-developed; excellent; to refine; to improve
追星狗	n. Star-chasing dogs. Fanatic fans [of artists and entertainers such as singers and actors].
燃	to burn; to ignite; to light; fig. to spark off (hopes); to start (debate); to raise (hopes)
夸张	to exaggerate; overstated; exaggerated; hyperbole; (coll.) excessive; ridiculous; outrageous
牛	ox; cow; bull; CL:條|条[tiao2],頭|头[tou2]; newton (abbr. for 牛頓|牛顿[niu2 dun4]); (slang) awesome
闯	to rush; to charge; to dash; to break through; to temper oneself (through battling hardships)
有	to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)
份	classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分[fen4]
聲控	n. Voice+freak. One who is easily attracted to people (of the opposite sex) with nice voices.
不得已	to act against one's will; to have no alternative but to; to have to; to have no choice; must
调动	to transfer; to maneuver (troops etc); movement of personnel; to mobilize; to bring into play
可怕	awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly
化	to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]
环保	environmental protection; environmentally friendly; abbr. for 環境保護|环境保护[huan2 jing4 bao3 hu4]
白起	Bai Qi (-258 BC), famous general of Qin 秦國|秦国, the victor at 長平|长平 in 260 BC; same as 公孫起|公孙起
听写	(of a pupil) to write down (in a dictation exercise); dictation; (music) to transcribe by ear
雙標	n./adj. Double standard. This Internet slang term is short for 雙重標準 [shuāng chóng biāo zhǔn].
有	to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)
启动	to start (a machine); (fig.) to set in motion; to launch (an operation); to activate (a plan)
入门	entrance door; to enter a door; introduction (to a subject); to learn the basics of a subject
受	to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker)
油	oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning
有	to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)
献	to offer; to present; to dedicate; to donate; to show; to put on display; worthy person (old)
荤	strong-smelling vegetable (garlic etc); non-vegetarian food (meat, fish etc); vulgar; obscene
急于求成	anxious for quick results (idiom); to demand instant success; impatient for result; impetuous
只见	to see (the same thing) over and over again; to see, to one's surprise, (sth happen suddenly)
粒	grain; granule; classifier for small round things (peas, bullets, peanuts, pills, grains etc)
蓬荜生辉	Your presence brings light to my humble dwelling; see also 蓬蓽生光|蓬荜生光[peng2 bi4 sheng1 guang1]
体面	dignity; prestige; face; honorable; creditable; (of sb's appearance) presentable; respectable
胸怀	one's bosom (the seat of emotions); breast; broad-minded and open; to think about; to cherish
出来	(after a verb, indicates coming out, completion of an action, or ability to discern or detect)
闭塞	to stop up; to close up; hard to get to; out of the way; inaccessible; unenlightened; blocking
解决	to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)
扶	to support with the hand; to help sb up; to support oneself by holding onto something; to help
放下	to lay down; to put down; to let go of; to relinquish; to set aside; to lower (the blinds etc)
沉淀	(chemistry) to settle; to precipitate; (chemistry) sediment; precipitate; (fig.) to accumulate
负	to bear; to carry (on one's back); to turn one's back on; to be defeated; negative (math. etc)
普通话	Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech
生命	life (as the characteristic of living beings); living being; creature (CL:個|个[ge4],條|条[tiao2])
閃	v. Literally “flash,” this Internet slang term means to leave swiftly, to beat a hasty retreat
男友力	(coll.) attractiveness (as a potential boyfriend); degree to which one is "boyfriend material"
燒腦	adj. Burn+brain. Brain-scorching. This Internet slang term means “intellectually challenging”.
節操	n. Scruples, moral principles, integrity. This slang term is often used in teasing and joking.
乡	country or countryside; native place; home village or town; township (PRC administrative unit)
礼尚往来	lit. proper behavior is based on reciprocity (idiom); fig. to return politeness for politeness
力所能及	as far as one's capabilities extend (idiom); to the best of one's ability; within one's powers
履行	to fulfill (one's obligations); to carry out (a task); to implement (an agreement); to perform
職業假笑	n. Professional fake smile. This Internet slang term is used to describe one’s insincere smile.
编织	to weave; to knit; to plait; to braid; (fig.) to create (sth abstract, e.g. a dream, a lie etc)
